7.17,5.11
6.17,5.31
10.73,-0.10
6.28,8.02
2.67,2.06
5.73,4.93
0.62,3.21
6.72,9.11
0.70,6.78
6.25,5.49
8.72,5.07
2.54,4.34
9.86,2.78
6.28,8.33
3.99,5.16
2.84,4.62
9.76,6.43
8.15,6.86
4.31,7.31
7.13,4.79
6.29,0.85
4.94,8.59
2.32,5.84
5.53,5.63
7.45,0.17
8.48,4.47
7.93,8.92
8.24,6.30
12.71,7.99
7.31,-0.30
6.40,10.95
7.16,4.84
7.60,8.06
2.90,4.29
3.88,5.15
5.07,7.56
8.54,3.91
6.32,4.31
2.29,6.52
4.75,5.39
8.67,6.81
6.83,5.39
4.01,3.60
8.51,2.70
5.42,7.02
5.88,11.70
5.92,1.77
-1.76,4.15
11.45,1.15
1.54,5.57
0.00,3.12
-1.92,3.53
3.51,4.19
6.21,3.44
2.24,4.05
9.20,3.17
8.23,2.03
2.58,3.20
6.93,5.56
6.29,6.53
6.13,-0.75
8.36,6.80
1.34,6.74
5.52,8.98
7.66,4.99
5.29,3.23
3.01,3.64
4.99,3.15
5.13,1.95
3.27,4.83
-0.34,2.40
-1.14,11.13
7.37,1.35
2.67,1.31
2.13,10.56
8.54,9.78
2.06,6.80
9.60,3.60
6.51,2.67
3.62,5.14
8.14,6.29
5.67,-0.27
11.68,4.55
0.78,4.16
4.54,6.69
2.34,3.07
2.80,1.59
7.03,2.52
5.39,9.63
7.95,5.08
9.98,6.21
-0.36,4.17
4.20,1.33
6.00,1.13
6.52,4.74
0.07,1.26
0.13,1.23
7.24,8.21
6.85,7.64
1.82,0.87
-3.99,0.25
-8.57,3.36
-9.03,7.05
-5.39,7.25
-4.15,1.20
-5.86,0.16
-8.39,4.12
-4.00,-0.76
-9.21,6.74
-7.48,5.42
-7.43,2.60
-7.93,8.41
-4.51,6.58
-7.72,1.52
-6.57,5.14
-7.35,3.38
-6.17,2.25
-5.78,3.86
-2.21,2.45
-0.69,6.64
-7.00,4.47
-2.55,4.30
-4.45,5.70
-1.85,5.33
-3.34,-0.41
-11.36,2.10
-4.92,3.04
-2.82,0.11
-5.34,1.91
-1.89,-3.19
-7.75,11.12
-5.65,3.17
-9.15,4.64
-5.90,0.15
-5.67,3.90
-9.55,2.49
-7.92,5.26
-5.83,-0.66
-0.73,2.87
-6.01,1.23
-8.38,0.34
-9.49,0.02
-8.26,4.56
-2.18,6.67
-8.62,-2.83
-7.32,5.83
-6.67,3.19
-3.18,11.43
-3.83,5.02
-0.15,7.39
-3.28,5.22
-10.79,2.95
-4.42,3.51
-1.17,7.06
2.05,4.48
-0.72,3.31
-12.77,-1.22
-4.69,10.38
-6.28,6.47
-7.13,2.27
-4.15,0.16
-4.55,13.18
-7.66,2.69
-9.78,1.56
-4.09,-0.54
-6.54,-0.38
-5.09,-2.79
-4.11,6.23
-3.86,5.78
-9.90,1.86
-3.82,0.99
-11.33,4.65
-6.04,2.25
-3.39,5.26
-0.66,1.42
-4.78,6.73
-4.77,-1.25
-2.14,-1.46
-8.18,8.28
1.75,0.42
-3.10,6.07
-3.63,-0.62
-12.17,7.77
-5.81,6.92
-4.56,4.95
-11.12,0.71
-6.77,5.43
-3.92,4.14
-6.64,9.18
-6.18,5.85
-5.49,6.29
-7.52,1.22
-9.00,3.32
-9.03,6.75
-5.68,1.91
-5.85,5.68
-9.30,4.72
-3.49,6.51
-1.74,8.59
-3.81,6.84
-3.51,-9.06
-3.04,-6.11
-3.57,-8.13
-4.57,-10.62
-5.12,-6.53
-1.98,-8.21
-2.59,-4.63
-5.22,-4.02
-3.51,-7.75
-4.51,-8.14
-5.27,-11.80
-3.22,-6.41
-7.16,-6.28
-8.20,-4.03
-1.49,-2.32
-2.40,-4.12
-1.60,-8.46
-5.54,-5.40
-1.75,-9.71
-6.07,-3.80
-5.27,-7.99
-5.65,-5.39
-1.36,-6.17
-5.78,-9.77
-2.32,-5.16
-7.61,-3.77
-6.05,-4.66
-7.66,-4.71
-3.40,-3.30
-4.73,-12.45
-9.58,-10.58
-7.34,-10.85
-8.63,-7.03
-5.54,-5.41
-2.86,-7.13
-1.56,-6.06
-2.01,-6.68
-1.56,-2.37
1.60,-10.13
0.38,-7.82
-7.18,-12.36
-6.60,-6.80
-1.30,-8.91
-2.18,-9.81
-4.04,-1.24
-7.41,-7.15
-3.53,-10.79
-2.13,-4.04
-3.33,-7.24
-7.44,-5.58
-9.08,-6.69
-4.84,-9.57
-4.93,-10.48
-6.68,-4.88
-6.98,-3.19
0.30,-2.38
-6.52,-15.65
-10.00,-7.39
-5.04,-5.88
-0.46,-3.70
-3.22,-5.16
-4.93,-6.00
-2.47,-11.28
-5.01,-8.80
-1.58,-4.60
-5.29,-11.34
-4.66,-7.04
-5.41,-2.35
-1.58,-11.48
-6.99,-9.48
-1.38,-0.92
-5.74,-8.28
2.51,-12.09
-4.20,-7.43
-0.89,-8.72
3.31,-2.20
-13.26,-10.90
-8.13,-2.74
-7.54,-8.07
0.92,-3.62
-8.11,-7.76
-8.13,-4.45
-6.45,-2.39
-3.37,-6.94
-7.24,-8.75
-6.47,-2.25
1.91,0.66
-4.71,-8.94
-2.96,-3.16
-2.82,-5.59
-3.80,-15.40
3.32,-5.32
-4.15,-1.16
0.28,-8.81
-5.20,-6.92
-3.36,-3.57
1.11,-7.82
-6.06,-9.48
-3.16,-7.40
-5.77,-5.09
